2015,2016,2017,2019,freq,indic_is,ind_type,unit,geo
:,:,:,7.33,A,I_DSK_AB,IND_TOTAL,PC_IND,AL
32.79,34.59,36.22,39.22,A,I_DSK_AB,IND_TOTAL,PC_IND,AT
:,:,:,7.79,A,I_DSK_AB,IND_TOTAL,PC_IND,BA
31.13,31.53,30.99,34.18,A,I_DSK_AB,IND_TOTAL,PC_IND,BE
12.75,10.07,11.05,11.29,A,I_DSK_AB,IND_TOTAL,PC_IND,BG
:,:,42.76,49.33,A,I_DSK_AB,IND_TOTAL,PC_IND,CH
15.36,20.44,18.71,25.23,A,I_DSK_AB,IND_TOTAL,PC_IND,CY
22.93,20.42,24.06,25.79,A,I_DSK_AB,IND_TOTAL,PC_IND,CZ
35.30,33.48,36.71,38.84,A,I_DSK_AB,IND_TOTAL,PC_IND,DE
48.46,52.98,47.22,48.53,A,I_DSK_AB,IND_TOTAL,PC_IND,DK
37.44,34.74,34.84,37.03,A,I_DSK_AB,IND_TOTAL,PC_IND,EE
16.11,19.36,21.66,23.32,A,I_DSK_AB,IND_TOTAL,PC_IND,EL
30.02,30.72,31.61,36.09,A,I_DSK_AB,IND_TOTAL,PC_IND,ES
26.69,27.32,29.04,31.05,A,I_DSK_AB,IND_TOTAL,PC_IND,EU27_2020
40.94,43.74,45.23,50.07,A,I_DSK_AB,IND_TOTAL,PC_IND,FI
26.85,27.57,29.24,30.92,A,I_DSK_AB,IND_TOTAL,PC_IND,FR
30.28,33.28,20.61,35.34,A,I_DSK_AB,IND_TOTAL,PC_IND,HR
22.42,23.82,25.75,25.36,A,I_DSK_AB,IND_TOTAL,PC_IND,HU
25.01,24.80,27.74,34.14,A,I_DSK_AB,IND_TOTAL,PC_IND,IE
:,:,58.31,61.57,A,I_DSK_AB,IND_TOTAL,PC_IND,IS
19.32,19.48,:,22.02,A,I_DSK_AB,IND_TOTAL,PC_IND,IT
30.29,29.15,31.94,32.30,A,I_DSK_AB,IND_TOTAL,PC_IND,LT
55.89,54.15,55.25,35.76,A,I_DSK_AB,IND_TOTAL,PC_IND,LU
25.54,26.63,26.80,24.45,A,I_DSK_AB,IND_TOTAL,PC_IND,LV
:,:,14.33,:,A,I_DSK_AB,IND_TOTAL,PC_IND,ME
13.84,13.25,12.21,15.07,A,I_DSK_AB,IND_TOTAL,PC_IND,MK
34.54,31.95,38.70,38.25,A,I_DSK_AB,IND_TOTAL,PC_IND,MT
42.52,44.87,47.85,49.56,A,I_DSK_AB,IND_TOTAL,PC_IND,NL
49.43,45.46,51.24,51.09,A,I_DSK_AB,IND_TOTAL,PC_IND,NO
15.07,19.40,21.13,21.29,A,I_DSK_AB,IND_TOTAL,PC_IND,PL
27.88,28.34,30.75,32.10,A,I_DSK_AB,IND_TOTAL,PC_IND,PT
8.97,8.59,10.15,10.33,A,I_DSK_AB,IND_TOTAL,PC_IND,RO
12.24,:,19.26,19.83,A,I_DSK_AB,IND_TOTAL,PC_IND,RS
35.24,38.80,46.38,46.04,A,I_DSK_AB,IND_TOTAL,PC_IND,SE
25.62,27.78,29.69,31.07,A,I_DSK_AB,IND_TOTAL,PC_IND,SI
26.07,29.12,33.07,27.07,A,I_DSK_AB,IND_TOTAL,PC_IND,SK
11.59,15.58,19.59,24.31,A,I_DSK_AB,IND_TOTAL,PC_IND,TR
39.86,43.09,46.02,48.85,A,I_DSK_AB,IND_TOTAL,PC_IND,UK
:,:,5.47,14.33,A,I_DSK_AB,IND_TOTAL,PC_IND,XK
