2011,2012,2013,2014,2015,2016,2017,2018,2019,freq,indic_is,unit,ind_type,geo
:,:,:,:,:,:,:,53.74,67.58,A,I_IUMP,PC_IND,IND_TOTAL,AL
26.26,35.34,45.36,52.51,60.71,62.18,72.40,71.63,79.95,A,I_IUMP,PC_IND,IND_TOTAL,AT
17.08,27.66,37.04,47.56,58.43,63.55,68.33,68.51,76.53,A,I_IUMP,PC_IND,IND_TOTAL,BE
4.90,6.86,13.08,23.11,33.67,41.56,53.42,55.89,63.23,A,I_IUMP,PC_IND,IND_TOTAL,BG
:,:,:,57.19,:,:,68.13,:,84.43,A,I_IUMP,PC_IND,IND_TOTAL,CH
9.11,17.15,23.71,39.63,55.45,59.55,68.27,73.84,78.82,A,I_IUMP,PC_IND,IND_TOTAL,CY
9.05,:,21.89,30.94,40.11,:,54.95,63.74,70.55,A,I_IUMP,PC_IND,IND_TOTAL,CZ
14.94,23.29,34.99,48.05,57.48,63.68,72.91,78.68,75.49,A,I_IUMP,PC_IND,IND_TOTAL,DE
32.98,50.29,57.49,69.24,74.78,78.19,80.50,83.54,87.39,A,I_IUMP,PC_IND,IND_TOTAL,DK
10.87,17.84,26.35,45.73,54.81,57.17,64.16,67.86,75.20,A,I_IUMP,PC_IND,IND_TOTAL,EE
8.20,15.14,21.34,29.61,38.36,41.35,48.32,52.18,59.70,A,I_IUMP,PC_IND,IND_TOTAL,EL
17.04,29.94,45.37,58.71,65.32,71.08,76.45,79.75,86.17,A,I_IUMP,PC_IND,IND_TOTAL,ES
16.01,23.39,32.10,41.62,48.89,52.83,60.20,64.99,71.00,A,I_IUMP,PC_IND,IND_TOTAL,EU27_2020
33.21,44.51,51.93,59.20,67.84,71.47,74.56,73.63,:,A,I_IUMP,PC_IND,IND_TOTAL,FI
22.39,32.91,42.30,49.45,53.94,54.03,64.19,68.07,76.11,A,I_IUMP,PC_IND,IND_TOTAL,FR
15.76,28.82,33.66,37.41,48.90,51.36,50.83,62.13,71.41,A,I_IUMP,PC_IND,IND_TOTAL,HR
10.07,10.47,23.10,36.87,45.52,54.74,58.37,57.87,69.25,A,I_IUMP,PC_IND,IND_TOTAL,HU
19.54,28.67,40.66,53.90,59.11,64.34,70.52,69.29,80.69,A,I_IUMP,PC_IND,IND_TOTAL,IE
24.77,42.49,45.84,57.86,:,:,80.00,81.54,84.70,A,I_IUMP,PC_IND,IND_TOTAL,IS
11.33,11.36,15.27,21.47,24.82,28.67,31.30,39.25,49.24,A,I_IUMP,PC_IND,IND_TOTAL,IT
12.49,13.11,22.37,29.15,35.56,42.29,53.25,59.74,67.15,A,I_IUMP,PC_IND,IND_TOTAL,LT
34.14,46.16,54.91,63.03,72.83,71.23,76.78,80.51,83.50,A,I_IUMP,PC_IND,IND_TOTAL,LU
12.15,16.35,22.58,28.29,38.50,43.73,52.21,55.97,65.03,A,I_IUMP,PC_IND,IND_TOTAL,LV
:,12.43,22.30,37.58,50.08,55.62,61.57,58.69,71.45,A,I_IUMP,PC_IND,IND_TOTAL,MK
23.33,28.43,35.04,45.02,57.03,59.66,67.82,68.76,71.43,A,I_IUMP,PC_IND,IND_TOTAL,MT
38.06,42.93,57.44,64.42,71.29,75.86,84.11,84.15,87.52,A,I_IUMP,PC_IND,IND_TOTAL,NL
31.49,55.83,64.86,71.61,76.52,74.30,82.30,85.11,91.02,A,I_IUMP,PC_IND,IND_TOTAL,NO
10.63,14.77,20.69,26.77,33.60,30.73,38.68,47.42,57.82,A,I_IUMP,PC_IND,IND_TOTAL,PL
6.85,12.47,16.29,31.06,41.42,47.70,56.31,59.17,62.17,A,I_IUMP,PC_IND,IND_TOTAL,PT
2.85,5.07,9.57,19.08,31.06,41.65,49.79,55.95,68.30,A,I_IUMP,PC_IND,IND_TOTAL,RO
33.32,59.16,64.64,70.31,73.84,76.25,84.11,86.04,91.92,A,I_IUMP,PC_IND,IND_TOTAL,SE
18.48,19.93,31.36,37.16,46.86,50.86,60.54,64.31,73.26,A,I_IUMP,PC_IND,IND_TOTAL,SI
22.19,25.84,32.85,42.84,46.51,53.10,59.75,59.12,66.67,A,I_IUMP,PC_IND,IND_TOTAL,SK
:,10.12,17.75,28.13,38.16,51.10,60.71,63.85,71.26,A,I_IUMP,PC_IND,IND_TOTAL,TR
39.81,56.01,58.18,63.29,73.05,76.59,79.20,77.72,84.32,A,I_IUMP,PC_IND,IND_TOTAL,UK
